"emp_no","dept_no","first_name","last_name"
10002,"d007 ","Bezalel","Simmel"
10016,"d007 ","Kazuhito","Cappelletti"
10034,"d007 ","Bader","Swan"
10041,"d007 ","Uri","Lenart"
10050,"d007 ","Yinghua","Dredge"
10053,"d007 ","Sanjiv","Zschoche"
10060,"d007 ","Breannda","Billingsley"
10061,"d007 ","Tse","Herber"
10068,"d007 ","Charlene","Brattka"
10087,"d007 ","Xinglin","Eugenio"
10088,"d007 ","Jungsoon","Syrzycki"
10089,"d007 ","Sudharsan","Flasterstein"
10093,"d007 ","Sailaja","Desikan"
10095,"d007 ","Hilari","Morton"
10099,"d007 ","Valter","Sullins"
10101,"d007 ","Perla","Heyers"
10107,"d007 ","Dung","Baca"
10125,"d007 ","Syozo","Hiltgen"
10136,"d007 ","Zissis","Pintelas"
10148,"d007 ","Douadi","Azumi"
10149,"d007 ","Xiadong","Perry"
10151,"d007 ","Itzchak","Lichtner"
10160,"d007 ","Debatosh","Khasidashvili"
10178,"d007 ","Valery","Litvinov"
10185,"d007 ","Duro","Sidhu"
10199,"d007 ","Kazuhisa","Ranta"
10209,"d007 ","Yolla","Ellozy"
10214,"d007 ","Tadahiko","Ciolek"
10215,"d007 ","Xiaobin","Duclos"
10226,"d007 ","Xinglin","Plessier"
10228,"d007 ","Karoline","Cesareni"
10232,"d007 ","Marko","Auria"
10234,"d007 ","Arunachalam","Bakhtari"
10236,"d007 ","Susumu","Bade"
10237,"d007 ","Yannis","Mandell"
10243,"d007 ","Wonhee","Pouyioutas"
10248,"d007 ","Frederique","Tempesti"
10253,"d007 ","Zsolt","Salinas"
10254,"d007 ","Shen","Brattka"
10256,"d007 ","Irene","Radhakrishnan"
10262,"d007 ","Mahendra","Maraist"
10270,"d007 ","Bedir","Hartvigsen"
10273,"d007 ","Baocai","Lieblein"
10277,"d007 ","Isaac","Schwartzbauer"
10291,"d007 ","Dipayan","Seghrouchni"
10292,"d007 ","Yucel","Ghelli"
10296,"d007 ","Petter","Lorho"
10299,"d007 ","Ipke","Stentiford"
10302,"d007 ","Faiza","Baer"
10304,"d007 ","Bernt","Erie"
10306,"d007 ","Heng","Kilgour"
10308,"d007 ","Dzung","Holburn"
10314,"d007 ","Christfried","Apsitis"
10319,"d007 ","Mechthild","Miyakawa"
10320,"d007 ","Uinam","Stasinski"
10321,"d007 ","Guenter","Ravishankar"
10330,"d007 ","Kasturi","Bellmore"
10331,"d007 ","Arto","Binkley"
10335,"d007 ","Toshimori","Bahi"
10346,"d007 ","Aamod","Radwan"
10355,"d007 ","Satyanarayana","Cochrane"
10361,"d007 ","Seshu","Sidou"
10369,"d007 ","Qunsheng","Toyoshima"
10370,"d007 ","Clyde","Fandrianto"
10374,"d007 ","Willard","Rosin"
10375,"d007 ","Dante","Kalafatis"
10378,"d007 ","Takahira","Lichtner"
10380,"d007 ","Alejandro","Kamble"
10388,"d007 ","Hironoby","Kaiser"
10398,"d007 ","Shooichi","Escriba"
10399,"d007 ","Guenter","Marchegay"
10400,"d007 ","Ortrud","Nitto"
10403,"d007 ","Atreyi","Mungall"
10407,"d007 ","Ulf","Siepmann"
10408,"d007 ","Martijn","Kaiser"
10410,"d007 ","Takahito","Gecsei"
10411,"d007 ","Lidong","Klerer"
10417,"d007 ","Bingning","Bakhtari"
10427,"d007 ","Khosrow","Sudbeck"
10431,"d007 ","Patricio","Bugrara"
10442,"d007 ","Volkmar","Unno"
